study_id,match,paper_count,doi,first_author,surname,authors,title,abstract,journal,year,month,volume,issue,pages,inclusion,which_check,uni_name,ab_uni_name,working_group_name,uni_working_group,qualification,working_group_number,Number_person_in_working_group,nr_researchers,group_paper_count,publication_strength,quartile,links,federal_state,state_uni,form,Ansprache,Countercheck_Website,Countercheck_Category,Countercheck_Kommentar,Countercheck_ls_or_jd,Countercheck_inclusion,Countercheck_which_check,notes_covidence,covidence_support_binary,covidence_support
11,anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2015,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,66,1,9,14,1.555555556,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
12,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,58,6,12,37,3.083333333,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
13,anonymized,8,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2015,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,14,3,17,54,3.176470588,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
14,anonymized,8,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2016,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,14,3,17,54,3.176470588,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
15,anonymized,8,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,14,3,17,54,3.176470588,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
16,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2019,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,69,1,15,26,1.733333333,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
17,anonymized,8,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2016,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,14,3,17,54,3.176470588,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
18,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2016,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,22,21,21,56,2.666666667,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
19,anonymized,13,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2016,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,54,1,24,67,2.791666667,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
20,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2018,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,59,11,17,18,1.058823529,1,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,1,support
21,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2022,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,24,5,21,39,1.857142857,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
22,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2016,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,30,1,8,19,2.375,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
23,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
24,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2020,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,30,1,8,19,2.375,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
25,anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,80,2,7,14,2,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
26,anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2014,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,72,10,34,46,1.352941176,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
27,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2014,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
28,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2014,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
29,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2018,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,79,15,16,42,2.625,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
30,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2020,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,21,3,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
31,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,30,1,8,19,2.375,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
32,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2014,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,21,3,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
33,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2015,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,21,3,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
34,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2016,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,79,15,16,42,2.625,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
35,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2015,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
36,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,49,8,14,35,2.5,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
37,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2015,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,3,5,12,17,1.416666667,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
38,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2018,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,30,1,8,19,2.375,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
39,anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,68,2,12,27,2.25,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
40,anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2019,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,68,2,12,27,2.25,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
41,anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,68,2,12,27,2.25,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
42,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
43,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2020,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,38,5,9,17,1.888888889,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
44,anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2020,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,68,2,12,27,2.25,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
45,anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,50,3,8,35,4.375,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
46,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2020,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,38,5,9,17,1.888888889,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
47,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
48,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2014,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
49,anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,50,3,8,35,4.375,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
50,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,21,3,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
51,anonymized,4,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2020,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,24,2,21,39,1.857142857,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
52,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,24,5,21,39,1.857142857,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
53,anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,33,6,20,21,1.05,1,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
54,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
55,anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2019,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,70,9,10,16,1.6,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
56,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,21,3,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
57,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2020,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,30,1,8,19,2.375,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
58,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,16,1,8,23,2.875,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
59,anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,68,2,12,27,2.25,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
60,anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2014,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,72,10,34,46,1.352941176,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
61,anonymized,4,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2019,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,24,2,21,39,1.857142857,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
62,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2019,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,79,15,16,42,2.625,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
63,anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,72,10,34,46,1.352941176,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
64,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2014,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,83,1,11,22,2,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
65,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2015,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,21,3,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
66,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,3,5,12,17,1.416666667,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
67,anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2018,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,68,2,12,27,2.25,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
68,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,3,5,12,17,1.416666667,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
69,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,83,1,11,22,2,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
70,anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2015,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,47,5,9,18,2,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
71,anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2020,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,72,24,34,46,1.352941176,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
72,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2018,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,3,5,12,17,1.416666667,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
73,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,3,5,12,17,1.416666667,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
74,anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2022,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,95,11,18,22,1.222222222,1,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
75,anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2022,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,68,2,12,27,2.25,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
76,anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2022,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,70,9,10,16,1.6,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
77,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,49,8,14,35,2.5,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
78,anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2018,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,79,15,16,42,2.625,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
79,anonymized,11,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,78,7,14,26,1.857142857,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
80,anonymized,11,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2016,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,78,7,14,26,1.857142857,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
81,anonymized,11,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2019,anonymized,anonymized,anonymized,anonymized,true,step2,anonymized,anonymized,anonymized,anonymized,anonymized,78,7,14,26,1.857142857,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,new_before_zero,NA,jd,true,step2,anonymized,,
