match,paper_count,first_author,name_adress,initial_first_name,surname,middle_name_true,mail,qualification_level,uni_name,research_chair_name,working_group_id,person_id_in_working_group,links,federal_state
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,20,4,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,57,2,anonymized,anonymized
anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,54,4,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,39,3,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,69,5,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,55,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,16,2,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,34,26,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,32,3,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,20,10,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,54,7,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,25,8,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,8,14,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,72,14,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,62,2,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,78,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,68,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,95,9,anonymized,anonymized
anonymized,8,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,14,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,34,30,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,23,6,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,39,6,anonymized,anonymized
anonymized,8,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,34,10,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,23,7,anonymized,anonymized
anonymized,4,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,3,3,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,49,11,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,39,8,anonymized,anonymized
anonymized,8,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,88,4,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,67,11,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,58,12,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,87,11,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,72,16,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,72,17,anonymized,anonymized
anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,39,10,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,54,9,anonymized,anonymized
anonymized,10,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,73,1,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,8,19,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,79,6,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,42,6,anonymized,anonymized
anonymized,11,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,36,15,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,95,11,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,33,14,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,36,18,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,36,19,anonymized,anonymized
anonymized,10,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,99,3,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,79,7,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,83,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,72,22,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,27,4,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,67,4,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,7,13,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,2,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,26,6,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,27,5,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,33,16,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,39,14,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,81,4,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,14,2,anonymized,anonymized
anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,21,5,anonymized,anonymized
anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,4,1,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,66,1,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,14,11,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,20,13,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,88,5,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,1,16,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,100,6,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,3,1,anonymized,anonymized
anonymized,18,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,82,18,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,78,2,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,72,26,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,85,9,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,60,2,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,34,13,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,25,20,anonymized,anonymized
anonymized,12,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,52,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,34,15,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,12,7,anonymized,anonymized
anonymized,4,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,61,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,24,15,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,59,10,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,59,11,anonymized,anonymized
anonymized,14,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,43,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,30,7,anonymized,anonymized
anonymized,16,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,72,33,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,7,15,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,34,50,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,25,24,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,26,8,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,48,5,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,87,12,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,72,28,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,20,19,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,38,7,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,26,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,55,7,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,7,17,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,68,6,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,24,22,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,37,13,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,7,20,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,54,23,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,44,11,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,23,4,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,59,17,anonymized,anonymized
anonymized,4,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,10,35,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,79,16,anonymized,anonymized
anonymized,4,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,101,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,82,26,anonymized,anonymized
anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,37,2,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,33,5,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,69,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,62,4,anonymized,anonymized
anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,25,6,anonymized,anonymized
anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,68,2,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,28,1,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,25,7,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,17,5,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,18,2,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,1,9,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,2,7,anonymized,anonymized
anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,44,4,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,24,11,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,33,12,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,57,6,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,95,16,anonymized,anonymized
anonymized,37,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,39,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,97,3,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,14,5,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,7,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,75,4,anonymized,anonymized
anonymized,14,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,54,19,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,24,17,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,66,7,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,69,13,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,83,11,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,5,3,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,93,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,24,19,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,1,1,anonymized,anonymized
anonymized,4,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,36,29,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,50,8,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,91,2,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,34,7,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,69,2,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,55,2,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,57,1,anonymized,anonymized
anonymized,12,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,91,5,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,58,9,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,87,7,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,86,2,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,10,6,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,72,34,anonymized,anonymized
anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,9,1,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,44,2,anonymized,anonymized
anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,57,3,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,84,2,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,98,5,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,39,5,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,61,1,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,58,2,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,56,1,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,68,12,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,24,7,anonymized,anonymized
anonymized,4,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,11,8,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,51,13,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,31,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,1,13,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,23,1,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,74,1,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,97,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,7,10,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,8,18,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,8,1,anonymized,anonymized
anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,36,17,anonymized,anonymized
anonymized,11,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,55,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,48,2,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,17,17,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,90,4,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,10,19,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,36,21,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,37,8,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,96,4,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,49,13,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,10,20,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,88,9,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,14,9,anonymized,anonymized
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,8,21,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,87,4,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,5,17,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,25,18,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,47,9,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,91,1,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,32,1,anonymized,anonymized
anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,26,1,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,27,9,anonymized,anonymized
